node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
102430,IN02A024,VNC,-0.07910872166197927,0.7568112248861818,-0.31656851624531906,R,intrinsic neuron,glutamate,position
102493,IN16B005,VNC,0.24714794039498422,1.4313734325714376,-0.6839830943020961,R,intrinsic neuron,glutamate,position
102601,IN01A038,VNC,0.42407352735522164,0.3034060009012229,-0.10496604875926473,R,intrinsic neuron,acetylcholine,position
102619,IN08A029,VNC,-0.5044517301925199,1.422887953136411,-0.28723681961558184,L,intrinsic neuron,glutamate,position
102786,Sternal posterior rotator MN,motor,0.21547772581071212,-0.6241170346660037,0.14124648445390556,R,motor neuron,glutamate,position
102868,IN21A003,VNC,-0.7566775952887798,0.7161210124772752,0.02792858585701633,L,intrinsic neuron,glutamate,position
102924,IN08A037,VNC,0.6061438538154358,-1.4860279379088521,0.4439843373681185,R,intrinsic neuron,glutamate,position
102935,IN19A032,VNC,-0.5554982364000808,-0.536589648367699,0.6139611852634523,L,intrinsic neuron,gaba,position
102954,nan,VNC,0.10115760523330795,-1.6145127958108676,1.6498578243236943,L,intrinsic neuron,gaba,position
103220,IN04B009,VNC,-0.07596842612303246,0.8192162468729121,-0.7369672296719859,R,intrinsic neuron,acetylcholine,position
103455,IN21A042,VNC,-0.15233774103827089,-1.52210792920739,1.036965675839458,L,intrinsic neuron,glutamate,position
104697,Sternal posterior rotator MN,motor,0.42226952779029475,-0.9170331121711702,0.04944295103873705,R,motor neuron,glutamate,position
152301,IN13B027,VNC,0.0,0.9460307348074025,-0.7407756731979427,L,intrinsic neuron,gaba,position
152324,DNut052,descending,0.18019951209658625,1.923798498997778,-0.2474820143884892,R,descending neuron,acetylcholine,position
152391,IN06A047,VNC,0.23819475736905077,-0.9607968053203226,0.7449181907174045,R,intrinsic neuron,glutamate,position
152620,Sternotrochanter MN,motor,0.6301971813477943,-1.1868980841244932,0.9588591761579937,R,motor neuron,glutamate,position
152621,Sternotrochanter MN,motor,0.5933822272635455,-1.3430442686887207,1.0585468558198798,R,motor neuron,glutamate,position
152642,Sternotrochanter MN,motor,-0.4129822707708563,-1.118212471059869,1.3695029289743152,L,motor neuron,glutamate,position
152696,IN15A001,VNC,0.4205323430240689,-1.5635331044020075,0.26198082570660536,R,intrinsic neuron,acetylcholine,position
152857,IN11A027,VNC,-0.7073682738474447,0.20024395170688503,0.5428702394455925,L,intrinsic neuron,glutamate,position
153102,IN20A.22A003,VNC,0.16877418151871593,-1.9189878334913064,0.8905744518855758,R,intrinsic neuron,acetylcholine,position
153142,Tr flexor MN,motor,-0.5159438755690912,1.4290349146169026,-0.28723681961558184,L,motor neuron,unknown,position
153315,Tr flexor MN,motor,-0.7220007147629629,0.005612443090883664,-0.25576704942741274,L,motor neuron,glutamate,position
153335,Ti flexor MN,motor,-0.8093944714638657,-0.012093478564880277,-0.300733408953183,L,motor neuron,glutamate,position
153509,IN06A059,VNC,-0.23645757260282488,-0.8901735630933698,0.8958528209829545,L,intrinsic neuron,gaba,position
153756,MNnm14,VNC,-0.3361452522647109,1.5189008188697422,-0.42881737806299236,L,motor neuron,glutamate,somaLocation
153759,IN04B031,VNC,-0.12447596997995557,-1.8184983762450084,0.5409326102832637,R,intrinsic neuron,acetylcholine,position
153836,IN01A083,VNC,-0.1977718041549482,1.672641670680734,-0.43429619155647403,L,intrinsic neuron,acetylcholine,position
153863,MNad16,VNC,-0.3106219991609304,-1.6997016641546374,1.4949811209347856,L,motor neuron,glutamate,position
153910,IN12A054,VNC,0.18701462156408782,-0.31409636869338226,0.2808225989402862,R,intrinsic neuron,acetylcholine,position
153943,IN21A022,VNC,-0.1522709262395699,-1.52210792920739,1.0242040492875677,L,intrinsic neuron,glutamate,position
153995,AN06A047,VNC,0.40062153301117204,0.5764112683934925,-0.251090013518343,L,ascending neuron,gaba,position
154062,nan,VNC,0.1805335860900912,-2.138875336016284,0.9301956275152664,R,intrinsic neuron,glutamate,position
154109,AN07B064,VNC,-0.4318240440045372,-1.1001724754106001,0.6491057693801762,R,ascending neuron,acetylcholine,position
154122,IN03B073,VNC,0.5091955809002906,0.651711546529515,0.13256056062277607,R,intrinsic neuron,gaba,position
154133,Sternal posterior rotator MN,motor,0.21166928228475534,-2.145757260282487,0.8489488322948553,R,motor neuron,glutamate,position
154207,IN12A051,VNC,0.20004350731078205,-0.31409636869338226,0.2804885249467812,R,intrinsic neuron,glutamate,position
154304,IN08A038,VNC,-0.5057880261665397,1.421685286759793,-0.28723681961558184,L,intrinsic neuron,glutamate,position
154312,IN06A062,VNC,-0.4952312879717824,0.6138275556660503,-0.08579020153207888,L,intrinsic neuron,gaba,position
154383,IN20A.22A003,VNC,-0.6670789502307441,-1.1972543779231475,0.058262504467268515,L,intrinsic neuron,acetylcholine,position
154460,IN09A035,VNC,0.13296144941498206,1.223111705020433,-0.4731155896017527,R,intrinsic neuron,gaba,position
154554,IN07B074,VNC,0.3243190328946346,0.046903988688099196,-0.1355672265643209,R,intrinsic neuron,acetylcholine,position
154769,Sternal posterior rotator MN,motor,-0.6750967260748637,-0.9652065820345883,0.19489876781080534,L,motor neuron,glutamate,position
154903,IN16B015,VNC,0.7616887051913545,0.1871482511614898,-0.5327143900430412,R,intrinsic neuron,glutamate,position
154996,IN06A075,VNC,0.2110011342977454,-0.334675326693289,0.14478766878505836,R,intrinsic neuron,glutamate,position
155077,IN08B128,VNC,-0.46770359090697206,-1.1001724754106001,0.6637382102956944,L,intrinsic neuron,acetylcholine,position
155099,IN08A022,VNC,0.63661140202309,-0.06547850272697608,-0.3246531068881396,R,intrinsic neuron,glutamate,position
155115,IN08A040,VNC,-0.6930699069254316,-1.3605497459483817,0.8420669080286527,L,intrinsic neuron,glutamate,position
155216,Acc. tr flexor MN,motor,-0.636010068834781,-0.05138058020106593,-0.3318691051478472,L,motor neuron,glutamate,position
155218,Tr flexor MN,motor,-0.6988159796137172,-0.3697530960113119,0.22289416846652269,L,motor neuron,glutamate,position
155532,IN09B035,VNC,-0.45160122442003203,-1.089014404027534,0.5989946703544292,L,intrinsic neuron,acetylcholine,position
155633,Tergotr. MN,motor,-0.4737837375887627,1.5209052628307722,0.1271485619279954,L,motor neuron,glutamate,position
155644,IN13A027,VNC,0.2630498624858213,-2.1148220084839258,0.3835169445437171,R,intrinsic neuron,gaba,position
155654,IN01A081,VNC,-0.25543297543390775,1.3513961185263452,-0.2764128222260205,L,intrinsic neuron,acetylcholine,position
155684,IN06A075,VNC,0.2040523952328418,-0.334675326693289,0.13316189381108504,R,intrinsic neuron,glutamate,position
155685,IN11B030,VNC,0.5651863822117252,-0.2695308979598179,0.5470127569650544,R,intrinsic neuron,gaba,position
155778,IN11B030,VNC,-0.467770405705673,-0.16035551688239041,0.7756529981198627,L,intrinsic neuron,gaba,position
155809,IN01A075,VNC,0.11077893624625137,1.336095529623817,-0.33688021505042187,R,intrinsic neuron,acetylcholine,position
155853,Sternal adductor MN,motor,-0.3962117562969063,1.5844461363954194,-0.3879935360566838,L,motor neuron,gaba,position
156166,nan,VNC,0.6485044361918673,0.7734481097627298,0.28870674518700373,R,intrinsic neuron,unknown,somaLocation
156180,Acc. tr flexor MN,motor,-0.7498624858212782,0.1069704927202946,-0.37062168839442483,L,motor neuron,gaba,position
156233,Tr flexor MN,motor,-0.8271672079183305,0.2799540065571733,0.10783908510340756,L,motor neuron,glutamate,position
156308,IN16B022,VNC,0.6479031030035582,0.27921904377146234,-0.5492176453221872,R,intrinsic neuron,glutamate,position
156783,IN16B015,VNC,-0.49128921484842364,1.4311729881753346,-0.28723681961558184,L,intrinsic neuron,glutamate,position
156857,Fe reductor MN,motor,-0.5293068353092903,1.6350249390120732,-0.20652454278477866,L,motor neuron,glutamate,position
156928,IN13A014,VNC,-0.7103081249902885,1.2122208928321705,-0.6105536305297015,L,intrinsic neuron,gaba,position
156960,MNnm03,VNC,-0.46903988688099196,1.439925726805165,-0.32071103376478083,L,motor neuron,glutamate,position
157030,IN19A040,VNC,-0.40890656805009556,-1.6972295166027005,1.274024581630592,L,intrinsic neuron,gaba,position
157188,IN06A060,VNC,-0.3164348866479171,-0.284163338875336,0.30066659415448205,L,intrinsic neuron,gaba,position
157207,Tr flexor MN,motor,0.8097953602560716,0.23171372189505415,-0.10483241916186274,R,motor neuron,glutamate,position
157260,IN03A009,VNC,0.8551626085740479,0.351646285563342,-0.20031076650558602,R,intrinsic neuron,acetylcholine,position
157281,IN03B063,VNC,-0.4337616731668661,-0.19723728576534022,0.6282595521854655,L,intrinsic neuron,gaba,position
157407,IN02A040,VNC,-0.035946361701135854,-0.7079696070357537,0.4052317541215408,R,intrinsic neuron,glutamate,position
157409,IN13B031,VNC,-0.35739235825162763,0.9810416893267244,-0.6323352549062262,R,intrinsic neuron,gaba,position
157414,AN19B085,VNC,0.2662569728234691,-0.9015320788725392,0.9151622978075423,L,ascending neuron,acetylcholine,position
157429,IN21A035,VNC,-0.32699162484267447,-2.342393212859518,0.903469708034868,L,intrinsic neuron,glutamate,position
157432,Sternotrochanter MN,motor,-0.754138632938142,-1.7620398713426666,0.5862330438025389,L,motor neuron,glutamate,position
157503,Sternotrochanter MN,motor,-0.401490125394285,-1.254848734403406,1.223044890221732,L,motor neuron,glutamate,position
